GUBERNATURA
03/06/2024 15:00 (UTC-6)
"
"
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
8166,8169,3,8166,100.0000,7414,'90.7910,10.7274,752,4409228,2477987,2468913,'56.2000
"
"
CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND_1,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,COTEJO
'110758C0100,110758C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0758,01,C,00,1,0,294,0,9,422,215,11,3,12,5,25,120,,15,1,1,0,1,3,2,0,0,8,422,422,689,13, ,1,I,2f98ed050abf542bb260f954e193f491c6f55a212d4a404c6053d7d02b5706f6,03/06/2024 00:50:29,03/06/2024 00:51:35,03/06/2024 00:51:35,CASILLA,MOVIL,ACTA PREP,SI
'110759B0100,110759B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0759,01,B,00,1,0,265,469,7,476,271,15,2,12,5,16,125,,14,3,0,0,4,2,1,0,0,6,476,476,713,13, ,1,I,73345be2f880f508bfad7d11c5f7e0a4bb823f4098f08e6a9cb1645916cf0ce6,03/06/2024 00:56:37,03/06/2024 00:58:14,03/06/2024 00:58:14,CASILLA,MOVIL,ACTA PREP,SI
'110759C0100,110759C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0759,01,C,00,1,0,319,419,2,421,257,9,4,10,5,27,90,,7,3,0,0,1,0,1,0,1,0,421,415,713,13, ,1,I,c4afa4c55e516323f8e3e51abf7b1e72f9c057b4648af527185dac1aa27f7397,02/06/2024 22:48:12,02/06/2024 22:49:23,02/06/2024 22:49:23,CASILLA,MOVIL,ACTA PREP,SI
'110759C0200,110759C02000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0759,02,C,00,1,0,353,384,3,387,217,11,2,2,2,32,107,,5,3,0,0,3,0,0,1,0,2,387,387,712,13, ,1,I,5aa66e92b95337c4ccb083d4bf8c596ac9006100c414a2a05798f4bbc3f19209,03/06/2024 00:05:15,03/06/2024 00:07:39,03/06/2024 00:07:40,CASILLA,MOVIL,ACTA PREP,SI
'110759C0300,110759C03000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0759,03,C,00,1,0,317,417,6,423,243,11,2,11,3,20,104,,17,1,1,0,6,0,0,0,0,5,423,424,712,13, ,1,I,b89b0e3f7f58aeb6da7e19778b84d34d7f325c3c907873d91659de3bc138276e,03/06/2024 01:39:39,03/06/2024 01:40:50,03/06/2024 01:40:50,CASILLA,MOVIL,ACTA PREP,SI
'110760B0100,110760B01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0760,01,B,00,1,0,299,416,2,416,234,12,1,11,6,14,108,,6,5,1,0,8,1,0,0,0,9,416,416,688,13, ,1,I,747530f36c335a1e1a8d62b0c2dc509dc7956896436ad64fdfffae92bcedf2ab,03/06/2024 00:10:54,03/06/2024 00:17:51,03/06/2024 00:17:51,CASILLA,MOVIL,ACTA PREP,SI
'110760C0100,110760C01000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0760,01,C,00,1,0,340,371,5,376,217,8,6,14,6,20,85,,5,1,0,1,3,2,1,0,0,7,376,376,688,13, ,1,I,6942daba56acd2033094f3f4b387438ee26f93536c571e5606a1aefb7514c64e,03/06/2024 03:57:32,03/06/2024 04:15:05,03/06/2024 04:15:06,CATD,MOVIL,ACTA PREP,SI
'110760C0200,110760C02000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0760,02,C,00,1,0,0,0,0,0,223,6,3,13,3,21,105,,5,1,2,0,5,0,1,1,0,9,398,398,688,13, ,1,I,0c3bc285fb2787953c1c2a119e6e423cb7aa8f663921148bf85670d79c640443,02/06/2024 23:58:33,03/06/2024 00:03:13,03/06/2024 00:03:13,CASILLA,MOVIL,ACTA PREP,SI
'110760C0300,110760C03000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0760,03,C,00,1,0,312,398,5,403,230,8,3,6,6,25,92,,4,7,1,0,7,1,1,0,0,12,403,403,688,14, ,1,I,88bd0640571b6c230ae2a407dfcab1bab4e3252c978c3e1bd7f5a01e9d6dbd9c,02/06/2024 23:10:27,02/06/2024 23:13:26,02/06/2024 23:13:26,CASILLA,MOVIL,ACTA PREP,SI
'110760C0400,110760C04000,11,GUANAJUATO,001,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0760,04,C,00,1,0,319,398,5,396,232,6,2,9,5,17,103,,6,3,0,0,2,2,0,1,0,8,398,396,687,13, ,1,I,fbedee221c1521add8adcc596f0f5eee31d0c57e35ab262db3a614426a57ee1f,03/06/2024 01:00:31,03/06/2024 01:04:45,03/06/2024 01:04:45,CASILLA,MOVIL,ACTA PREP,SI
